eval/mean_ep_length,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,eval/success_rate,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,distance_reward/env_2,reward/env_2,success_rate/env_2,pose_reward/env_2,reward/env_3,distance_reward/env_3,success_rate/env_3,pose_reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,pose_reward/env_5,reward/env_5,success_rate/env_5,distance_reward/env_5,pose_reward/env_6,success_rate/env_6,distance_reward/env_6,reward/env_6,success_rate/env_7,reward/env_7,distance_reward/env_7,pose_reward/env_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1752.4740473254128,-0.5896808716431452,-18227.29236918236,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1701.39247818815,-17852.57884403592,0.0,0.6143375154924492,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2025.3844546546213,0.0,-0.23480158815257143,-19877.62553745667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-19909.215373573534,-0.9635194275494139,-2037.5873761680416
102.0,70,0.0003,0.9895840287208557,0.018792724609375,-3.5762786865234375e-07,-9.851525050401687,0.0036124466,-0.0017452454929298255,0.2,0.0,120000,-2584.76231498,175567.6875,388961.1811035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-20355.628007280196,-2120.6077504670675,0.0,1.4880825870295484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-20522.702372180378,-0.7493536552881058,0.0,-2139.716041708103,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.19302218904122084,-20986.603422800883,0.0,-2224.7558816111055,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-25577.47225040369,-0.2992566055013716,0.0,-2991.127785128438,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2615.3626528686245,-0.24714751689131545,-23340.56880231307,0.0,,,,,,,,,,,,
